ID,AT,V,AP,RH,EP
50,25.38,65.34,1012.87,62.49,447.41
51,34.4,77.95,1009.83,57.86,430.87
52,9.24,41.4,1018.34,84.91,477.65
53,12.38,43.52,1022.98,100,467.55
54,26.65,73.18,1012.27,83.12,437.7
55,23.03,65.12,1016.29,69.8,447.84
56,10.48,39.58,1011.81,88.86,472.61
57,31.21,66.44,1008.57,65.76,430.7
58,7.82,40.72,1022.17,88.13,481.52
59,24.54,66.49,1011.1,69.14,437.38
60,22.35,66.44,1011.19,65.41,445.27
61,7.51,43.02,1014.35,86.46,485.38
62,6.12,40.81,1014.77,88.15,487.24
63,21.84,45.09,1013.94,46.11,450.88
64,29.3,73.67,1005.64,65.31,431.07
65,13.49,44.47,1030.46,69.49,466.66
66,25.56,58.82,1010.44,70.23,441
67,24.17,48.78,1018.08,75.14,440.96
68,15.83,41.67,1013.39,74.12,464.93
69,14.4,41.26,1021.41,73.11,462.78
70,13.45,42.44,1012.79,83.12,473.96
71,26.94,73.21,1002.83,91.25,431.19
72,21.89,74.78,1010.35,80.39,444.6
73,14.1,41.04,1026.11,74.25,465.89
74,8.49,43.69,1016.93,85.63,483.62
75,5.99,35.79,1011.56,91.69,484.82
76,22.61,45.38,1013.92,62.91,459.53
77,25.97,68.12,1013.11,61.97,437.11
78,16.85,42.24,1017.43,66.01,472.63
79,26.82,69.05,1004.62,40,437.42
80,7.4,40.72,1022.56,87.67,484.29
81,24.13,45.61,1012.63,71.36,453.19
82,21.67,50.32,1008.41,85.99,445.31
83,28.15,71.94,1006.73,68.21,427.69
84,10.31,45.01,1018.42,93.67,473.74
85,10.18,40.81,1015.79,81.42,475.13
86,13.45,45.87,1008.73,87.06,464.88
87,30.13,78.05,1010.99,61.5,434.14
88,27.5,59.54,1004.88,72.7,438.81
89,18.25,60.1,1009.72,90.15,456.25
90,17.89,40.12,1011.99,76.52,451.79
91,20.5,51.19,1009,91.79,445.35
92,28.04,74.33,1013.53,48.65,432.92
93,23.69,63.77,1013.39,79.5,444.07
94,30.37,76.09,1006.95,65.93,435.01
95,14.64,39.58,1011.46,71.9,467.8
96,29.82,66.51,1010.98,43.57,439.17
97,26.15,63.21,1012.31,76.44,441.23
98,14.41,42.77,1019.84,82.54,465.89
99,26.69,70.36,1006.82,68.29,435.04
100,27,60.96,1012.36,58.97,450.15
101,22.56,70.98,1005.66,95.95,440.81
102,28.57,69.34,1007.98,65.55,439.46
103,19.46,46.33,1013.77,89.62,452.11
104,11.61,41.17,1019.57,58.82,476.81
105,27.78,72.43,1006.72,74.53,429.62
106,25.69,73.18,1012.64,86.35,432.82
107,28.26,72.43,1006.68,72.3,426.2
108,18.67,44.06,1017.13,77.18,454.51
109,26.44,54.2,1012.65,48.02,444.78
110,12.05,49.83,1008.54,95.11,454.18
111,21.38,44.05,1005.69,81.66,445.71
112,25.55,71.64,1009.09,79.35,439.37
113,10.06,37.83,1005.49,99.46,473.51
114,11.94,44.2,1017.97,82.93,474.02
115,27.01,67.98,1006.01,67.98,434.65
116,28.32,47.93,1003.26,54.5,439.5
117,14.17,42.86,1030.94,66.47,466.2
118,8.94,41.74,1022.55,90.74,483.53
119,27.86,65.18,1012.87,55.53,436.26
120,21.14,48.78,1020.39,86.2,450.35
121,30.3,73.9,1006.72,55.13,440.79
122,8.42,40.64,1022.35,96.38,476.29
123,25.87,59.43,1008.34,65.83,440.26
124,19.7,51.3,1014.88,88.1,454.94
125,20.51,68.08,1012.73,78.05,445.96
126,28.74,70.32,1008.15,45.99,431.93
127,14.7,40.8,1025.78,50.96,472.85
128,19.27,50.9,1011.72,83.14,455.09
129,12.71,43.02,1012.25,62.68,475.38
130,23.43,71.97,1009.42,94.27,442.19
131,12.65,44.03,1007.13,85.23,466.01
132,10.35,38.38,1020.77,74.55,477.76
133,11.6,40.69,1015.51,86.55,474.99
134,19.95,57.25,1011.08,88.04,453.03
135,14.13,43.7,1015.94,80.89,469.28
136,27.03,71.14,1010.33,66.25,430.41
137,3.38,39.64,1011,81.22,488.92
138,17.08,40.12,1012.17,81.5,457.81
139,23.65,71.98,1006.09,93.39,434.11
140,22.12,60.77,1018.01,83.87,443.97
141,18.33,49.64,1025.36,62.57,468.14
142,27.92,74.99,1005.47,75.13,431.76
143,15.62,38.28,1014.5,77.01,465.7
144,19.13,68.61,1010.65,94.92,448.69
145,32.91,73.56,1007.02,55.03,434.03
146,14.81,44.88,1019.1,66.7,464.65
147,6.48,36.24,1013.62,92.03,484.65
148,26.52,63.94,1018.23,42.41,440.47
149,32.33,69.89,1014.18,50.93,427.29
150,18.41,42.44,1012.66,65.93,463.2
151,15.78,43.99,1022.19,83.7,461.07
152,8.13,71.14,1018.94,86.7,471.99
153,22.6,69.84,1006.37,79.59,435.13
154,29.1,50.05,1005.87,51.53,438.66
155,13.93,44.9,1022.15,85.93,470.59
156,13.66,45,1021.97,79.04,473.12
157,16.78,37.2,1011.97,68.94,471.24
158,17.98,59.15,1012.09,83.03,451.97
159,20.57,44.78,1008.89,38.78,465.69
160,17.01,44.2,1019.18,61.23,457.26
161,21.09,46.63,1013.03,74.8,453.34
162,20.21,60.84,1018.5,82.73,447.73
163,12.07,40.81,1025.63,68.02,475.96
164,22.41,66.56,1003.3,88.71,435.75
165,24.79,75.6,1017.07,68.23,440.05
166,8.43,40.6,1015.39,91.81,483.1
167,20.62,68.12,1012.33,79.88,447.16
168,21.94,50.32,1008.44,86.98,444.89
169,21.91,58.62,1015.95,72.87,450.23
170,13.78,39.85,1012.7,71.99,474.9
171,22.66,61.27,1019.29,55.43,448.68
172,26,69.88,1007.99,87.07,434.79
173,11.82,41.17,1019.5,55.74,475.61
174,16.71,46.18,1011.61,95.82,459.4
175,21.17,59.8,1016.06,77.73,455.66
176,12.82,48.14,1017.47,81.45,467.48
177,20.58,49.15,1021.42,56.15,453.87
178,23.56,49.16,1003.31,66.98,445.36
179,10.48,40,1021.35,88.52,478.86
180,25.21,46.21,1010.87,59.35,439.55
181,22.86,62.4,1010.59,78.24,445.66
182,30.08,68.14,1003.99,77.38,425.27
183,15.24,40,1017.34,65.16,454.64
184,18.8,44.78,1009.65,46,462.79
185,28.82,71.8,1010.97,67.64,436.71
186,30.65,65.18,1012.51,42.32,436.79
187,9.08,36.18,1020.24,68.37,477.26
188,19.23,41.67,1012.53,48.86,465.66
189,22.35,57.76,1017.92,68.18,453.74
190,19.68,68.28,1002.62,71.57,452.47
191,21.46,46.63,1012.97,71.29,452.1
192,9.52,40.96,1023.48,86.49,483.59
193,23.56,60.77,1017.93,76.34,443.13
194,20.32,67.71,1007.42,63.71,446.22
195,25.49,47.45,1007.89,57.04,444.52
196,28.59,69.84,1003.79,67.31,427.53
197,30.33,68.67,1006,54.99,435.53
198,31.4,70.32,1011.62,65.01,433.42
199,26.25,66.56,1008.29,60.65,436.3
200,9.74,41.01,1019.12,98.39,465.8
201,26.93,72.99,1007.33,78.85,433.18
202,30.57,69.71,1008.94,59.99,439.38
203,6.16,38.5,1012.83,93.68,490.92
204,24.92,63.94,1017.7,44.92,441.07
205,12.51,49.83,1008.61,94.27,452.84
206,23.45,66.48,1003.66,75.83,435.13
207,27.2,72.43,1006.75,80.67,430.32
208,28.28,69.48,1008.56,61.3,428.75
209,31.24,72.39,999.47,68.17,430.7
210,20.13,60.07,1014.79,63.57,453.49
211,23.99,50.32,1008.41,67.4,444.23
212,19.02,50.66,1013.04,85.25,455.42
213,13.69,40.1,1014.38,83.57,470.76
214,13.21,45.87,1008.58,85.66,463.1
215,15.79,44.89,1010.19,84.61,458.09
216,13.72,41.62,1011.14,75.79,455.52
217,25.21,50.23,1016,56.58,454.64
218,7.51,41.66,1015.9,78.31,485.58
219,11.95,39.82,1013.4,92.51,474.56
220,23.82,73.67,1007.26,88.16,438.42
221,27.17,61.25,1013.03,70.43,435.9
222,17.96,47.83,1005,85.72,454.59
223,18.76,44.71,1015.15,30.83,462.18
224,24.82,57.19,1007.82,71.46,439.91
225,16.81,42.86,1013.83,77.11,464.36
226,27.65,48.41,1008.54,58.25,440.94
227,19.23,45.01,1012.24,72.91,450.77
228,12.14,40.27,1007.57,73.22,472.84
229,31.91,69.89,1014.59,54.51,429.29
230,17.29,44.63,1019.6,41.98,460.66
231,25.41,66.49,1014.06,51.09,449.2
232,20.77,56.85,1012.4,83.63,442.85
233,10.48,37.5,1009.81,95.26,474.57
234,21.5,44.58,1016.87,57.58,460.2
235,17.46,39.99,1008.52,69.73,461.01
236,29.35,68.51,1007.63,70.67,430.22
237,11.82,41.26,1020.74,91.14,466.95
238,6.31,42.07,1004.61,77.74,483.27
239,10.11,52.75,1021.79,76.08,470.35
240,21.79,61.45,1011.11,91.78,446.99
241,16.13,39.99,1007.04,80.49,465.25
242,30.66,70.98,1007.6,72.08,435.66
243,26.74,69.89,1013.96,51.82,436.02
244,6.99,35.19,1019.32,68.95,480.05
245,24.6,63.94,1012.87,80.28,439.63
246,29.84,74.87,1009.64,61.39,435.05
247,14.1,44.84,1025.09,79.42,468.22
248,27.98,74.78,1009.46,63.11,436.82
249,6.22,38.68,1017.87,69.41,483.55
250,16.52,44.88,1017.61,90.08,459.73
251,21.92,48.14,1013.44,67.8,449.65
252,23.42,58.79,1009.74,81.54,441.46
253,15.25,39.58,1012.1,73.05,466.21
254,28.53,69.84,1004.46,68.03,427.72
255,26.86,72.58,1009.22,88.39,428.69
256,7.48,38.5,1014.01,77.35,488.43
257,23.68,51.3,1011.86,71.24,451.67
258,31.01,73.5,1010.92,48.61,432.41
259,25.2,61.08,1013.04,74.28,447.09
260,27.2,78.05,1010.15,90.2,430.55
261,16.34,42.28,1008.08,52.8,463.29
262,16.09,65.46,1013.84,85.52,454.88
263,27.4,69.84,1002.98,76.48,430.54
264,13.72,49.83,1006.88,89.49,463.65
265,15.86,40.66,1016.23,86.74,455.85
266,10.04,39.66,1015.84,82.31,480.63
267,22.76,44.05,1006.95,74.07,450.31
268,16.14,44.63,1019.44,47.85,463.5
269,26.52,43.77,1011.49,46.98,440.31
270,20.57,63.78,1016.76,74,449.93
271,21.43,63.47,1011.95,94.47,448.17
272,20.94,44.58,1016.98,59.65,463.69
273,22.7,63.56,1014.32,71.76,445
274,14.07,43.34,1015.79,86,463.77
275,26.34,59.21,1013.37,58.98,439.22
276,27.47,66.86,1006.1,70.2,437.45
277,21.62,58.59,1012.93,67.05,445.92
278,21.98,48.41,1008.42,84.86,444.6
279,21.17,58.46,1017.71,83.98,446.66
280,24.26,66.44,1011.33,55.32,445.63
281,25.77,65.48,1018.07,51.47,440.96
282,4.96,45.87,1007.32,98.78,481.88
283,11.83,44.6,1018.49,89.06,469.96
284,26.26,65.06,1013.58,52.72,440.92
285,29.29,70.36,1006.64,60.82,431.26
286,29.79,68.24,1009.19,65.49,428.44
287,26.16,70.04,1009.63,73.22,432.56
288,13.73,41.92,1031.01,64.92,466.29
289,12.21,44.34,1017.98,86.17,475.06
290,30.15,72.51,1009.37,50.64,443.72
291,19.39,43.14,1012.75,44.21,464.55
292,13.35,41.39,1019.17,72.87,474.19
293,26.55,73.67,1005.74,79.41,433.44
294,28.2,66.75,1018.35,60.18,433.46
295,23.83,50.32,1008.41,72.23,445.17
296,29.85,71.58,1010.04,58.66,432.26
297,14.35,40.71,1023.09,69.5,473.56
298,17.02,51.86,1021.53,81.28,460
299,23.36,74.93,1016.57,71.91,443.78
300,6.26,41.31,1002.04,87.54,485.57
301,26.59,66.49,1013.32,49.76,439.72
302,25.03,60.84,1017.69,59.23,441.58
303,23.74,72.43,1007.99,91.36,437.55
304,26.33,61.41,1011.9,52.1,452.79
305,24.93,69.05,1001.02,85.14,429.53
306,20.96,61.27,1019.99,67.32,448.77
307,12.85,40.92,1023.04,84.04,461.05
308,26.93,75.23,1010.19,62.12,434.1
309,15.79,58.86,1015.85,91.91,455.15
310,10.42,41.26,1008.48,96.76,472.54
311,33.3,68.14,1003.02,53.43,426.88
312,11.88,41.58,1016.56,90.18,465.47
313,18.23,60.95,1016.74,78.85,455.53
314,28.71,64.69,1006.52,68.38,435.85
315,13.18,43.72,1010.59,99.09,464.7
316,20.58,54.5,1015.04,89.83,467.76
317,15.28,40,1016.65,65,458.76
318,18.35,62.1,1019.97,78.36,455.29
319,29.27,69.89,1015.21,67.16,425.55
320,23.19,60.75,1008.33,82,439.43
321,22.16,58.82,1009.61,87.16,444.76
322,11.92,38.25,1013.13,84.92,472.5
323,24.39,71.85,1009.73,72.24,438.2
324,20.85,59.21,1012.9,75.97,444.44
325,22.32,70.47,1010.97,83.16,441.87
326,17.12,49.5,1014.79,87.03,463.39
327,17.3,57.76,1016.26,87.74,455.75
328,21.79,58.2,1017.21,66.74,446.94
329,22.99,68.67,1006.65,77.62,446.67
330,8.62,39.66,1015.18,89.59,482.99
331,15.5,44.92,1024.16,86.44,462.12
332,28,74.22,1008.68,66,433.94
333,23.48,70.79,1006.7,88.57,432.25
334,11.45,41.17,1017.98,84.64,476
335,19.6,48.14,1013.18,68.71,456.57
336,34.18,78.05,1010.71,66.77,432.1
337,19.46,66.86,1012.74,66.2,454.89
338,31.74,72.58,1007.26,59.58,425.12
339,26.82,65.27,1013.6,53.85,437.84
340,27.09,59.15,1013.02,55.18,438.9
341,22.93,58.2,1017.75,54.09,444.95
342,21.36,58.95,1018.35,78.87,443.93
343,23.79,59.44,1012.53,79.48,448.67
344,10.22,39.16,1015.71,96.2,478.45
345,27.33,73.18,1012.26,82.18,429.38
346,19.89,68.08,1012.65,80.25,448.71
347,20.08,63.09,1019,77.06,448.74
348,17.11,49.78,1007.25,100.09,453.22
349,32.84,77.95,1014.68,45.8,431.97
350,13.91,44.58,1021.36,78.98,472.67
351,28.14,43.21,1011.82,69.32,436.53
352,8.1,40.64,1020.66,89.04,478.27
353,9.68,40.77,1022.04,85.23,473.73
354,11.56,40.43,1025.48,74.75,489.54
355,5.23,35.57,1026.23,79.38,488.5
356,8.76,41.48,1018.49,74.98,474.3
357,25.48,65.12,1016.12,53.66,447.85
358,12.03,40.1,1015.32,85.39,474.94
359,17.3,42.24,1017.07,64.52,469.21
360,11.46,39.82,1012.09,86.2,477.99
361,8.51,40.78,1023.51,89.84,471.11
362,7.16,38.56,1019.17,70.1,486.12
363,7.98,40.77,1008.69,98.65,480.72
364,10.15,43.41,1018.4,82.07,473.43
365,14.27,41.48,1014.83,62.7,458.19
366,26.01,61.47,1009.54,75.01,435.78
367,31.1,68.51,1012.99,54.3,428.68
368,13.63,40.92,1021.89,80.5,462.4
369,24.49,60.27,1018.96,72.62,440.87
370,18.34,44.63,1000.76,89.27,455.22
371,24.91,57.17,1010.88,72.97,446.01
372,30.51,70.94,1007.64,59.42,430.91
373,12.83,44.88,1017.86,87.88,474.26
374,17.99,50.59,1015.9,77.28,462.2
375,21.11,74.78,1009.71,84.35,442.68
376,12.39,49.83,1007.6,92.43,468.43
377,7.54,37.7,1014.58,78.43,481.56
378,17.64,57.76,1016.28,85.04,455.75
379,27.07,77.95,1012.34,76.64,433.61
380,30.13,71.98,1004.95,63.62,431
381,14.98,43.99,1022.66,83.34,462.32
382,18.93,59.39,1013.92,68.78,450.14
383,16.59,39.54,1007.97,70.58,464.19
384,13.34,40.8,1026.56,64.85,474.47
385,25.91,75.6,1018.23,62.65,443.2
386,18.4,44.92,1024.88,64.89,458.36
387,9.83,38.56,1017.35,62.8,480.47
388,30.48,70.04,1010.73,53.7,429.85
389,31.35,71.32,1005.99,62.35,434.43
390,13.56,40.03,1017.73,83.76,472.59
391,21.78,51.43,1007.45,88.71,446.56
392,21.05,61.87,1009.69,62.81,449.05
393,13.64,43.71,1024.41,84.46,468.85
394,22.49,61.47,1009.14,90.23,437.01
395,20.56,59.14,1016.02,68.59,448.82
396,18.12,44.63,1001.26,89.72,453.55
397,25.89,66.49,1013.08,63.16,434.67
398,15.47,43.13,1015.11,50.5,466.63
399,23.96,60.95,1015.01,65.24,446.4
400,4.83,38.44,1015.35,72.94,485.32
401,28.15,74.9,1003.67,76.32,433.63
402,25.13,51.95,1005.42,62.05,447.7
403,23.62,67.45,1014.63,59.8,439.45
404,23.14,63.94,1017.49,53.19,446.57
405,12.93,41.39,1018.5,80.28,472.57
406,9.44,43.99,1020.31,98.06,475.01
407,26.89,56.85,1012.27,43.84,436.44
408,22.47,59.43,1006.02,85.21,444.5
409,19.76,62.1,1020.07,73.55,450.44
410,20.16,60.1,1011.24,86.23,453.36
411,25.2,63.76,1009.78,64.96,438.15
412,14.85,45.87,1009.37,84.65,462.67
413,15.36,40.89,1007.59,86.08,464.12
414,22.55,70.79,1006.19,92.56,436.43
415,17.33,53.16,1013.77,82.77,459.78
416,7.91,38.56,1016.48,68.94,485.95
417,14.14,39.82,1012.46,81.15,472.52
418,6.72,38.91,1016.89,90.47,485.89
419,10.16,39.3,1019.71,81.21,480.74
420,29.51,76.09,1007.39,71.5,432.45
421,28.61,72.29,1011.61,45.33,446.77
422,34.03,73.56,1006.49,51.07,440.29
423,16.84,39.63,1004.67,82.98,466.06
424,20.34,59.8,1015.18,80.21,453.54
425,17.51,68.28,1004.36,94.87,449.59
426,21.71,58.05,1013.07,85.75,449.38
427,27.58,71.97,1008.51,87.99,430.53
428,30.7,69.59,1008.03,66.78,433.4
429,20.89,70.32,1011.22,89.68,442.5
430,15.12,48.92,1011.8,72.93,462.59
431,22.23,46.93,1013.09,58.02,448.27
432,17.49,40.55,1001.73,73.15,462.37
433,29.13,62.26,1010.51,52.94,436.37
434,30.36,71.8,1010.9,63.27,437.4
435,20.59,42.04,1009.78,62.77,463.08
436,8.94,43.13,1014.82,76.66,483.63
437,23.35,59.92,1009.86,88.6,439.82
438,33.6,74.33,1012.31,35.66,428.62
439,15.07,39.3,1019,63.62,464.7
440,11.69,35.76,1019.02,55.6,471.72
441,24.39,58.41,1013.65,80.93,445.39
442,27.52,74.67,1015.77,72.01,433.56
443,10.39,40.96,1023.51,84.73,479
444,27.21,67.45,1013.83,43.26,436.47
445,16.53,53.29,1018.64,87.47,463.32
446,9.99,36.71,1023.57,83.53,475.85
447,11.23,41.17,1019.36,56.85,475.85
448,22.58,52.3,1009.04,78.99,445.6
449,20.14,65.06,1014.81,80.01,444.84
450,23.56,73.18,1012.18,87.98,437.92
451,7.98,39.61,1018.57,77.04,479.78
452,14.31,42.86,1031.14,69.6,465.36
453,19.41,64.45,1009.44,64.05,452.55
454,16.14,44.21,1020.36,80.59,461.03
455,26.2,60.07,1014.75,59.41,440.89
456,27.31,64.44,1014.65,57.27,442.77
457,10.73,25.36,1009.35,100.15,469.43
458,8.51,38.5,1013.33,64.28,482.39
459,11.48,42.02,1000.29,94.76,471.43
460,10.73,44.92,1025.1,85.4,476.81
461,13.5,44.92,1023.87,87.17,468.85
462,34.97,73.56,1006.57,44.69,435.15
463,25.38,72.24,1010.76,89.64,432.3
464,30.06,69.14,1007.5,72.48,436.89
465,30.93,69.98,1013.33,62.1,432.25
466,18.58,64.45,1009.68,67.57,444.28
467,13.97,41.16,1020.88,74.88,459.84
468,13.88,39.16,1010.8,75.69,464.37
469,10.26,43.14,1019.68,98.97,466.75
470,18.11,52.08,1002.51,100.09,449.99
471,13.78,40.1,1014.49,81.86,445.98
472,25.86,76.2,1005.73,69.35,438.75
473,10.23,42.32,1017.53,89.93,473.59
474,7.81,39.64,1011.42,86.68,482.22
475,15.97,45.01,1016.58,83.24,456.91
476,22.25,59.8,1016.79,69.02,451.64
477,6.86,38.08,1019.62,77.37,486.92
478,23.42,63.07,1011.72,75.81,444.23
479,17.97,65.94,1012.92,88.22,448.88
480,26.95,72.24,1011.16,73.14,435.65
481,25.52,71.73,1009.91,79.55,434.67
482,22.91,68.63,1014.92,55.82,448.01
483,5.72,39.33,1009.96,95.4,490.76
484,28.41,75.6,1018.48,56.07,440.28
485,6.52,35.57,1025.37,78.32,486.06
486,13.48,46.18,1018.15,88.38,464.58
487,10.57,36.71,1022.11,82.39,472.62
488,27.55,63.13,1012.92,71.29,440.75
489,15.86,43.02,1012.18,40.33,466.6
490,23.6,48.98,1015.41,48.28,448.43
491,11.9,39.16,1016.53,84.59,477.75
492,21.64,50.32,1008.41,86.32,442.52
493,10.87,42.02,1002.08,95.22,472.63
494,24.62,72.43,1007.97,84.36,436.89
495,23.75,68.51,1013.21,76.01,441.61
496,8.38,39.22,1015.03,75.14,478.82
497,23.21,74.22,1009.68,88.46,440.46
498,13.78,45.51,1015.56,69.92,468.17
499,17.8,46.48,1007.27,81.31,452.66
500,32.63,69.89,1013.85,41.66,425.72
501,23,60.27,1018.72,84.25,442
502,12.76,41.48,1014.06,70.34,461.61
503,11.01,42.02,995.24,98.62,473.96
504,17.89,44.6,1014.48,42.51,463.99
505,19.64,56.53,1019.6,76.19,447.66
506,24.01,67.17,1007.44,86.87,443.09
507,10.69,36.71,1022.08,83.28,472.81
508,9.93,40.67,1018.08,69.74,485.23
509,21.17,64.15,1021.25,62.38,454.15
510,10.95,43.8,1022.61,63.46,473.2
511,11.97,42.32,1016.95,88.32,467.98
512,22.44,58.16,1017.28,63.68,452.71
513,22.02,69.45,1013.84,75.75,440.26
514,12,39.96,1011.73,77.77,471.42
515,10.74,40.05,1015.45,87.33,477.93
516,16.5,49.39,1018.35,93.42,462.48
517,7.31,43.02,1014.19,86.43,484.82
518,27.42,65.74,1013.43,69.42,440.52
519,34.33,74.34,1001.74,42.75,435.76
520,21.39,52.3,1009.2,79.77,446.87
521,24.55,58.86,1015.22,60.53,445.8
522,15.42,40.56,1021.23,59.37,469.33
523,32.38,73.91,1004.05,61.69,430.17
524,8.49,36.25,1029.7,84.41,480.35
525,21.4,59.21,1017.84,78.01,444.15
526,29.12,58.84,1001.31,52.86,446.51
527,9.79,39.69,1002.36,93.86,471.61
528,29.72,68.08,1010.72,53.46,430.36
529,32.14,68.31,1010.48,42.15,436.15
530,9.33,39.96,1024.55,98.58,473.78
531,19.65,44.89,1009.76,75.36,451.35
532,30.39,71.8,1010.87,64.11,435.82
533,13.24,39.16,1016.52,86.66,474.48
534,14.38,44.84,1024.59,81.68,471.6
535,19.21,53.16,1013.18,81.64,454.01
536,13.87,42.99,1007.45,81.52,471.12
537,14.49,44.84,1024.09,86.55,465.72
538,21.54,58.41,1013.99,86.34,450.69
539,7.57,41.14,1028.23,87.97,477.8
540,15.62,58.59,1013.91,97.6,457.3
541,21.29,59.04,1012.49,84.23,445.37
542,23.86,66.54,1005.23,90.89,432.17
543,12.26,43.48,1016.41,72.95,467.83
544,23.53,68.94,1007.53,69.17,437.48
545,25.13,68.63,1013.57,43.44,446.36
546,8.97,36.24,1013.21,90.77,477.89
547,9.02,38.08,1019.02,69.98,478.32
548,8.55,36.25,1029.54,85.23,480.68
549,31.55,69.75,1010.12,58.36,435.01
550,27.56,63.9,1013.23,45.97,442.43
551,10.4,45.01,1018.58,93.48,470.79
552,23.25,72.99,1009.17,89.85,438.51
553,24.43,65.27,1013.25,55.4,440.99
554,17.3,43.72,1009.64,77.86,456.55
555,19.86,59.14,1016.12,69.32,449.82
556,13.78,38.28,1014.8,81.19,467.43
557,14.5,39,1017.04,75.75,465.32
558,32.44,77.95,1014.83,50.69,434.97
559,33.3,80.18,1011.09,63.98,430.16
560,15.59,52.05,1013.67,78.55,456.07
561,6.93,38.68,1017.61,61.28,482.37
562,7.73,37.8,1020.71,63.93,483.94
563,23.25,70.32,1009.28,86.52,437.96
564,22,51.3,1012.87,85.79,450.18
565,26.45,47.43,1008.87,53.25,442.12
566,6.25,39.48,1004.82,52.71,484.26
567,24.85,68.37,1006.5,68.37,442.66
568,7.79,41.01,1024,97.2,477
569,27.43,64.96,999.72,67.94,431.21
570,11.41,40.62,1015.56,57.62,466.83
571,31.01,69.04,1009.14,52.81,442.07
572,6.22,39.33,1012.31,93.23,491.77
573,29.52,75.33,1002.62,70.64,433.39
574,10.95,40.81,1016.19,77.96,474.36
575,7.64,40.81,1026.67,95.24,483.38
576,31.97,69.04,1008.5,47.69,441.18
577,20.83,67.32,1011.76,73.11,443.17
578,10.2,41.46,1019.12,83.26,480.11
579,21.82,50.66,1013.74,73.6,455.2
580,8.83,41.26,1023.04,86.08,478.87
581,11.7,43.41,1016.08,62.27,467.51
582,8.34,40.96,1023.28,89.45,483.92
583,23.31,60.37,1005.17,82.75,438.52
584,27.05,67.79,1010.99,71.37,443.89
585,14.4,42.18,1015.47,77.7,464.81
586,26.95,48.41,1008.53,62.94,436.54
587,18.55,41.85,1015.24,62.47,467.51
588,12,41.17,1019.48,58.71,474.4
589,8.61,43.8,1021.9,74.35,478.25
590,14.04,44.21,1021.93,86.12,468.64
591,23.18,51.43,1011.56,81.83,449.94
592,28.95,66.75,1018.22,60.48,432.39
593,26.47,47.43,1009.09,54.94,439.4
594,19.47,58.79,1016.8,87.26,450.17
595,21.38,49.21,1012.49,53.77,449.66
596,7.69,43.02,1014.51,85.23,486.46
597,6.43,36.08,1022.73,85.03,486.39
598,16.55,46.18,1009.97,96.54,455.8
599,12.02,43.69,1016.12,74.07,477.74
600,29.23,74.22,1008.49,57.88,428.9
601,28.47,69.23,1013.18,40.73,434.12
602,14.57,37.86,1022.44,68.82,463.58
603,9.68,40.22,1007.6,89.97,479.56
604,10.63,42.28,1008.37,92.68,474.97
605,10.57,41.26,1008.32,97.96,472.9
606,20.85,48.7,1007.11,87.2,449.57
607,20.13,43.43,1009.75,66.16,453.47
608,26.93,62.44,1011.02,70.05,435.11
609,26.45,73.5,1010.31,74.33,433.44
610,9.28,41.38,1021.96,72.22,486.18
